operator,instance,run,best_cost,gap_percent,iterations,elapsed_seconds
swap,bur26c,0,5458390,0.5822036763872599,1000,0.16318419699996412
swap,bur26c,1,5451201,0.44973137920264167,1000,0.16575450199979969
swap,bur26c,2,5430470,0.06771952874578827,1000,0.16051149500003703
swap,bur26c,3,5446794,0.3685232259556515,1000,0.15347761999987597
swap,bur26c,4,5428789,0.03674360280791886,1000,0.14778262100003303
swap,bur26c,5,5436648,0.1815620453693202,1000,0.14920387799998025
swap,bur26c,6,5438574,0.21705260655690883,1000,0.15925132200004555
swap,esc32h,0,444,1.36986301369863,1000,0.21674837599994135
swap,esc32h,1,458,4.5662100456621,1000,0.21886125199989692
swap,esc32h,2,458,4.5662100456621,1000,0.22106830899997476
swap,esc32h,3,440,0.45662100456621,1000,0.2137509859999227
swap,esc32h,4,444,1.36986301369863,1000,0.22473490500010485
swap,esc32h,5,440,0.45662100456621,1000,0.2146179100000154
swap,esc32h,6,440,0.45662100456621,1000,0.23428566999996292
swap,esc64a,0,116,0.0,1000,1.180994040000087
swap,esc64a,1,116,0.0,1000,1.1387571739999203
swap,esc64a,2,116,0.0,1000,1.148019062000003
swap,esc64a,3,120,3.4482758620689653,1000,1.1592057850000401
swap,esc64a,4,118,1.7241379310344827,1000,1.5231845119999434
swap,esc64a,5,120,3.4482758620689653,1000,1.740333309000107
swap,esc64a,6,116,0.0,1000,1.7613686269999107
swap,lipa60a,0,108078,0.8021041243074857,1000,0.9959043789999669
swap,lipa60a,1,108052,0.7778544647353989,1000,0.9415055199999642
swap,lipa60a,2,108037,0.7638642765207334,1000,0.9305597479999506
swap,lipa60a,3,108089,0.8123635956649069,1000,0.9305322310001429
swap,lipa60a,4,108086,0.8095655580219738,1000,0.9302803229998062
swap,lipa60a,5,108073,0.7974407282359306,1000,0.9307899500001895
swap,lipa60a,6,108104,0.8263537838795725,1000,0.9122189780000554
swap,tai80a,0,13737164,1.7629213736178424,1000,1.953724996000119
swap,tai80a,1,13766146,1.9776158321865973,1000,2.231170458999941
swap,tai80a,2,13794726,2.189332332976571,1000,3.5220269890000964
swap,tai80a,3,13802856,2.249558195517596,1000,2.381991896000045
swap,tai80a,4,13778142,2.066480462819086,1000,1.9774687330000233
swap,tai80a,5,13816748,2.352468119554486,1000,1.9521339749999242
swap,tai80a,6,13807348,2.282834280946167,1000,1.94391685100004
swap,tai80b,0,876732951,7.125713108379411,1000,1.950563283999827
swap,tai80b,1,850083711,3.869511963503828,1000,2.9633967249999387
swap,tai80b,2,895108063,9.370920128602767,1000,2.7006799440000577
swap,tai80b,3,864992096,5.69112865145613,1000,1.9616469550001057
swap,tai80b,4,873786267,6.765665474210987,1000,1.9619535560000259
swap,tai80b,5,859548820,5.026028950936573,1000,1.939216075000104
swap,tai80b,6,860987366,5.201801135515051,1000,1.9549039480000374
